sector,week,return_5d,return_10d,speech_count,return_time
Auto,2017-02-06/2017-02-12,-0.025225255094663952,-0.029192725844391202,1,~1 Week
Auto,2017-02-20/2017-02-26,-0.01645478790756175,-0.010200023977462901,1,~1 Week
Auto,2017-02-27/2017-03-05,0.0073721327039087126,0.0399752479302879,4,~2 Weeks
Auto,2017-03-20/2017-03-26,-0.00838108214747085,0.02344398906660965,1,1-2 Weeks
Auto,2017-03-27/2017-04-02,0.0381815615597186,0.020109392278058,2,~1 Week
Auto,2017-04-03/2017-04-09,0.0016729155547610007,-0.0029138591899694,2,1-2 Weeks
Auto,2017-04-17/2017-04-23,0.02582589554668815,0.05471188749721451,3,1-2 Weeks
Auto,2017-04-24/2017-04-30,0.0038043388202401007,0.03394231765721985,1,~2 Weeks
Auto,2017-05-01/2017-05-07,0.0216055040899705,0.0251805276317245,2,~1 Week
Auto,2017-05-22/2017-05-28,0.052284210678823106,0.0620013429719197,1,~1 Week
Auto,2017-05-29/2017-06-04,0.0045567241144654005,0.014148666105021,2,~2 Weeks
Auto,2017-06-19/2017-06-25,-0.0009846371725058742,0.012442625921837975,2,~2 Weeks
Auto,2017-06-26/2017-07-02,0.013663262121894375,0.027638731960954326,2,1-2 Weeks
Auto,2017-07-03/2017-07-09,0.015099680135813849,0.01109430461598765,2,~1 Week
Auto,2017-07-10/2017-07-16,0.0029140186333325756,0.00355481010417025,2,~1 Week
Auto,2017-07-17/2017-07-23,0.0036226430114679,0.018164952005658548,1,~2 Weeks
Auto,2017-07-24/2017-07-30,0.01843240222720125,-0.0331550234192686,1,1-2 Weeks
Auto,2017-07-31/2017-08-06,0.012814295032775501,-0.0274264951271556,1,1-2 Weeks
Auto,2017-08-21/2017-08-27,0.025025504213158502,0.033322774784061954,1,~1 Week
Auto,2017-08-28/2017-09-03,0.02735063897434095,0.0536426255307189,1,1-2 Weeks
Auto,2017-09-04/2017-09-10,0.0306122432214551,0.0386629943601092,1,~1 Week
Auto,2017-09-25/2017-10-01,0.010276567970751225,0.013191555880796312,4,~1 Week
Auto,2017-10-02/2017-10-08,0.0052507646009486,0.003966165582079026,2,~1 Week
Auto,2017-10-09/2017-10-15,-0.006936468660448267,0.028294785525586133,3,~2 Weeks
Auto,2017-10-16/2017-10-22,0.027250255688419926,0.0371874538399527,2,~1 Week
